#F FluorYield_Krause.dat
#UT Atomic Radiative Yields for K and L Shells (M.O. Krause)
#C  This file has been created using the mucal.f subroutine
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Atomic Radiative Yields for K and L Shells (M.O. Krause)
#UD 
#UD This data set contains data calculated by using mucal (A subroutine to 
#UD calculate x-ray crossections) by Pathikrit Badyopadhyay.
#UD 
#UD data is available for all the elements from 1 to 94.
#UD 
#UD REFERENCE
#UD 
#UD  M.O. Krause "Atomic Radiative and Raduiattionless Yields for K and
#UD  L Shells", J. Phys. Chem. Ref. Data, Vol. 8, No 2, 1979, pag 307-327
#UD 
#UD The mucal program can be found at: 
#UD    http://ixs.csrri.iit.edu/database/programs/mcmaster/
#UD and a Periodic Table WWW interface is at:
#UD    http://www.csrri.iit.edu/periodic-table.html
#UD 
#UD Column description:
#UD      1: K
#UD      2: L1
#UD      3: L2
#UD      4: L3
#UD 
#UD The scan #S 1000 contains the information for all the elements, where the first 
#UD column is the Atomic Number Z. This is useful to make plots of the values of a 
#UD  given variable as a function of Z.
#UD 
  0.972000003  0.162  0.472000003  0.476000011
#S  92 U 
#N 4
#L K  L1  L2  L3
  0.972000003  0.175999999  0.467000008  0.488999993
#S  93 Np
#N 4
#L K  L1  L2  L3
  0.97299999  0.187000006  0.465999991  0.501999974
#S  94 Pu
#N 4
#L K  L1  L2  L3
  0.97299999  0.204999998  0.463999987  0.513999999
#S 1000 all elements
#N 5
#L Z  K  L1  L2  L3
 1  0.  0.  0.  0.
 2  0.  0.  0.  0.
 3  0.  0.  0.  0.
 4  0.  0.  0.  0.
 5  0.00170000002  0.  0.  0.
 6  0.0027999999  0.  0.  0.
 7  0.00520000001  0.  0.  0.
 8  0.00829999987  0.  0.  0.
 9  0.0130000003  0.  0.  0.
 10  0.0179999992  0.  0.  0.
 11  0.023  0.  0.  0.
 12  0.0299999993  2.90000007E-05  0.00120000006  0.00120000006
 13  0.0390000008  2.59999997E-05  0.000750000007  0.000750000007
 14  0.0500000007  2.99999992E-05  0.000369999994  0.000380000012
 15  0.063000001  3.89999987E-05  0.000310000003  0.000310000003
 16  0.0780000016  7.40000032E-05  0.000260000001  0.000260000001
 17  0.0970000029  0.000119999997  0.000239999994  0.000239999994
 18  0.118000001  0.000180000003  0.000220000002  0.000220000002
 19  0.140000001  0.000239999994  0.00026999999  0.00026999999
 20  0.163000003  0.000310000003  0.00033000001  0.00033000001
 21  0.187999994  0.000390000001  0.000839999993  0.000839999993
 22  0.214000002  0.000469999999  0.00150000001  0.00150000001
 23  0.243000001  0.000579999993  0.00260000001  0.00260000001
 24  0.275000006  0.000709999993  0.0037  0.0037
 25  0.307999998  0.000839999993  0.00499999989  0.00499999989
 26  0.340000004  0.00100000005  0.00630000001  0.00630000001
 27  0.372999996  0.00120000006  0.00769999996  0.00769999996
 28  0.405999988  0.00139999995  0.00860000029  0.00930000003
 29  0.439999998  0.00159999996  0.00999999978  0.0109999999
 30  0.474000007  0.00179999997  0.0109999999  0.0120000001
 31  0.507000029  0.00209999993  0.0120000001  0.0130000003
 32  0.535000026  0.00240000011  0.0130000003  0.0149999997
 33  0.561999977  0.0027999999  0.0140000004  0.0160000008
 34  0.588999987  0.00319999992  0.0160000008  0.0179999992
 35  0.617999971  0.00359999994  0.0179999992  0.0199999996
 36  0.643000007  0.00410000002  0.0199999996  0.0219999999
 37  0.666999996  0.0046000001  0.0219999999  0.0240000002
 38  0.689999998  0.00510000018  0.0240000002  0.0260000005
 39  0.709999979  0.00590000022  0.0260000005  0.0280000009
 40  0.730000019  0.00680000009  0.0280000009  0.0309999995
 41  0.746999979  0.00939999986  0.0309999995  0.0340000018
 42  0.764999986  0.00999999978  0.0340000018  0.0370000005
 43  0.779999971  0.0109999999  0.0370000005  0.0399999991
 44  0.79400003  0.0120000001  0.0399999991  0.0430000015
 45  0.808000028  0.0130000003  0.0430000015  0.0460000001
 46  0.819999993  0.0140000004  0.0469999984  0.0489999987
 47  0.83099997  0.0160000008  0.050999999  0.0520000011
 48  0.842999995  0.0179999992  0.0560000017  0.0560000017
 49  0.852999985  0.0199999996  0.0610000007  0.0599999987
 50  0.861999989  0.0370000005  0.0649999976  0.064000003
 51  0.870000005  0.0390000008  0.0689999983  0.0689999983
 52  0.876999974  0.0410000011  0.074000001  0.074000001
 53  0.884000003  0.0439999998  0.0790000036  0.0790000036
 54  0.890999973  0.0460000001  0.0829999968  0.0850000009
 55  0.897000015  0.0489999987  0.0900000036  0.0909999982
 56  0.90200001  0.0520000011  0.0960000008  0.0970000029
 57  0.907000005  0.0549999997  0.103  0.104000002
 58  0.912  0.0579999983  0.109999999  0.111000001
 59  0.916999996  0.0610000007  0.116999999  0.118000001
 60  0.921000004  0.064000003  0.123999998  0.125
 61  0.925000012  0.0659999996  0.131999999  0.131999999
 62  0.92900002  0.0710000023  0.140000001  0.138999999
 63  0.931999981  0.075000003  0.149000004  0.147
 64  0.935000002  0.0790000036  0.158000007  0.155000001
 65  0.938000023  0.0829999968  0.166999996  0.164000005
 66  0.940999985  0.0890000015  0.178000003  0.173999995
 67  0.944000006  0.0939999968  0.188999996  0.181999996
 68  0.947000027  0.100000001  0.200000003  0.192000002
 69  0.949000001  0.105999999  0.210999995  0.201000005
 70  0.950999975  0.112000003  0.222000003  0.209999993
 71  0.953000009  0.119999997  0.233999997  0.219999999
 72  0.954999983  0.128000006  0.246000007  0.231000006
 73  0.957000017  0.136999995  0.257999986  0.243000001
 74  0.958000004  0.147  0.270000011  0.254999995
 75  0.958999991  0.143999994  0.282999992  0.268000007
 76  0.961000025  0.129999995  0.294999987  0.280999988
 77  0.962000012  0.119999997  0.307999998  0.294
 78  0.963  0.114  0.32100001  0.305999994
 79  0.963999987  0.107000001  0.333999991  0.319999993
 80  0.964999974  0.107000001  0.347000003  0.333000004
 81  0.966000021  0.107000001  0.360000014  0.347000003
 82  0.967000008  0.112000003  0.372999996  0.360000014
 83  0.967999995  0.116999999  0.386999995  0.372999996
 84  0.967999995  0.122000001  0.400999993  0.386000007
