#F f0_EPDL97.dat
#D Mon Sep 30 15:12:40 2002
#UT Elastic Photon-Atom Scattering, nonrelativistic form factors
#UF0TYPE TABLE ; TABLE TABLE_NOR OR PARAMETRIZATION? 
#UIDL xf0
#C  This file has been created using f0_EPDL97.pro on Mon Sep 30 15:12:40 2002
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Elastic Photon-Atom Scattering, nonrelativistic form factors
#UD 
#UD
#UD 
#UD The form factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://www-rsicc.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD         
#UD The argument for the form factor and scattering function is 
#UD x = sin(theta/2)/lambda, where theta is the photon scattering angle, and 
#UD lambda is its wavelength (cm). 
#UD The EPDL97 data base contains data from 0.0 to 1.0e+17 cm^-1. 
#UD The number of data points ranges from about 100 to 174. 
#UD 
#UD Quoted from the above reference of Cullen et al:
#UD The form factors are those of Hubbell [22,23,24]. Hubbell has 
#UD calculated nonrelativistic, relativistic and modified relativistic 
#UD form factors. Based on Hubbell's recommendation the data included in 
#UD EPDL97 are his nonrelativistic form factors, which are currently the 
#UD most widely used of Hubbell's form factors. 
#UD [22] Hubbell et al, J. Phys. Chem. Ref. Data, 4 471 (1975)
#UD [23] Hubbell et al, J. Phys. Chem. Ref. Data, 7 615 (1977)
#UD      Hubbell & Overbo, J. Phys. Chem. Ref. Data, 8 69 (1979)
#UD [24] Hubbell, Radiat. Phys. Chem. 50 113 (1997)
#UD 
#UD 
#UD Note: The data in this file are from reference [22]: 
#UD   J H Hubbell, W J Veigele, E A Briggs, R T Brown, D T Cromer, R J Howerton
#UD   Atomic form factors, incoherent scattering functions and photon scattering cross sections
#UD   J. Phys. Chem. Ref. Data, 4 471-538 (1975)
#UD 
#UD The atomic form factor and also incoherent scattering factor from  [22] are also 
#UD available in ftp://www-phys.llnl.gov/pub/rayleigh/RTAB/data_NF 
#UD  (RTAB Database: L. Kissel, Radiation physics and chemistry 59 (2000) 185-200)
#UD 
#UD 
#UD  The following two arrays are stored: 
#UD     Column 1: X(1/A) = sin(theta/2)/lambda
#UD     Column 2: f0 = form factor (electron units)
#UD
#UD
#S  1 H 
#N 2
#L X(1/A)  f0
   0.01500000      3.973200 
   0.01875000      3.957830 
   0.02000000      3.952500 
   0.02500000      3.926400 
   0.03000000      3.894700 
   0.03500000      3.858080 
   0.03750000      3.837830 
   0.04000000      3.816800 
   0.04500000      3.771110 
   0.04750000      3.746610 
   0.05000000      3.721500 
   0.05500000      3.668200 
   0.05875000      3.626210 
   0.06156200      3.593760 
   0.06625000      3.538010 
   0.06718700      3.526780 
   0.07000000      3.492400 
   0.07500000      3.429590 
   0.07875000      3.381620 
   0.08250000      3.332530 
   0.08625000      3.283040 
   0.09000000      3.232500 
   0.09750000      3.130620 
    0.1000000      3.097600 
    0.1062500      3.016990 
    0.1125000      2.939020 
    0.1144500      2.914700 
    0.1218800      2.822930 
    0.1250000      2.784400 
    0.1359400      2.650130 
    0.1375000      2.631400 
    0.1453100      2.542310 
    0.1500000      2.492100 
    0.1609400      2.385090 
    0.1750000      2.262900 
    0.1937500      2.119120 
    0.2000000      2.077100 
    0.2125000      2.002550 
    0.2218800      1.953590 
    0.2312500      1.909920 
    0.2500000      1.835400 
    0.2750000      1.756970 
    0.3000000      1.695100 
    0.3750000      1.558830 
    0.4000000      1.519500 
    0.4437500      1.450760 
    0.4812500      1.390830 
    0.5000000      1.360300 
    0.5250000      1.318890 
    0.5625000      1.256090 
    0.6000000      1.193000 
    0.6437500      1.119770 
    0.6812500      1.058010 
    0.7000000      1.027700 
    0.7437500     0.9584060 
    0.8000000     0.8743000 
    0.8500000     0.8045860 
    0.8875000     0.7545130 
    0.9000000     0.7381200 
     1.000000     0.6206000 
     1.125000     0.5193370 
     1.140600     0.5080780 
     1.179700     0.4798740 
     1.214800     0.4542500 
     1.250000     0.4279800 
     1.281300     0.4041660 
     1.308600     0.3835280 
     1.356400     0.3487110 
     1.437500     0.2961100 
     1.500000     0.2623500 
     1.562500     0.2342880 
     1.835900     0.1520120 
     1.875000     0.1435460 
     1.945300     0.1296320 
     2.000000     0.1198200 
     2.117200     0.1012800 
     2.253900    0.08352040 
     2.438500    0.06498110 
     2.500000    0.05994500 
     2.750000    0.04385090 
     2.937500    0.03515080 
     3.000000    0.03272000 
     3.250000    0.02479510 
     3.500000    0.01908500 
     3.875000    0.01325130 
     4.000000    0.01181000 
     4.437500   0.008059430 
     5.000000   0.005152100 
     5.750000   0.003027590 
     6.000000   0.002571700 
     7.000000   0.001418000 
     8.000000  0.0008430900 
     10.00000  0.0003513600 
     13.75000  9.985940E-05 
     15.00000  7.073800E-05 
     20.00000  2.257500E-05 
     50.00000  5.915200E-07 
     80.00000  9.182800E-08 
     100.0000  3.802700E-08 
     141.3600  9.728680E-09 
     185.5600  3.350110E-09 
     240.7100  1.215890E-09 
     311.1200  4.508700E-10 
     394.5400  1.813450E-10 
     470.2300  9.302040E-11 
     567.3500  4.580180E-11 
     675.5100  2.384450E-11 
     817.4800  1.176070E-11 
     939.1600  7.066740E-12 
     1000.000  5.619700E-12 
     1171.400  3.167920E-12 
     1365.400  1.827440E-12 
     1706.700  8.278310E-13 
     2048.600  4.363420E-13 
     2521.700  2.122820E-13 
     3357.900  7.970930E-14 
     4681.900  2.605540E-14 
     6333.900  9.582790E-15 
     8348.700  3.890810E-15 
     13166.00  9.016940E-16 
     19592.00  2.575370E-16 
     35979.00  3.926860E-17 
     82612.00  3.172370E-18 
     287420.0  7.899110E-20 
     1000000.  2.024900E-21 
     5623400.  1.214960E-23 
 5.424700E+07  1.360230E-26 
 1.000000E+09  2.033200E-30 
#S  5 B 
#N 2
#L X(1/A)  f0
     0.000000      5.000000 
 1.000000E-07      5.000000 
 1.000000E-06      5.000000 
 1.000000E-05      5.000000 
 1.000000E-04      5.000000 
  0.001000000      5.000000 
  0.005000000      4.997100 
  0.008750000      4.990800 
  0.010000000      4.988500 
   0.01500000      4.974100 
   0.02000000      4.954200 
   0.02500000      4.928900 
   0.03000000      4.898100 
   0.03500000      4.862060 
   0.03750000      4.842460 
   0.04000000      4.821700 
   0.04750000      4.752100 
   0.05000000      4.727000 
   0.05500000      4.673310 
   0.06000000      4.616240 
   0.06250000      4.586670 
   0.07000000      4.493400 
   0.07875000      4.377110 
   0.08000000      4.359750 
   0.09000000      4.216900 
   0.09750000      4.104760 
    0.1000000      4.067900 
    0.1062500      3.976130 
    0.1125000      3.885430 
    0.1156300      3.839670 
    0.1218800      3.747350 
    0.1250000      3.700600 
    0.1375000      3.511110 
    0.1468800      3.372590 
    0.1500000      3.328000 
    0.1609400      3.177490 
    0.1687500      3.075470 
    0.1750000      2.997400 
    0.1875000      2.848600 
    0.2000000      2.711300 
    0.2125000      2.584480 
    0.2312500      2.417430 
    0.2500000      2.273000 
    0.2718800      2.131610 
    0.2750000      2.113730 
    0.3000000      1.986300 
    0.3250000      1.885570 
    0.3578100      1.782230 
    0.3812500      1.723420 
    0.4000000      1.683100 
    0.4500000      1.596520 
    0.5000000      1.526200 
    0.5500000      1.462320 
    0.6000000      1.400300 
    0.6500000      1.337660 
    0.7000000      1.274100 
    0.7500000      1.209820 
    0.8000000      1.145400 
    0.8500000      1.081460 
    0.9000000      1.018700 
    0.9500000     0.9576550 
     1.000000     0.8987300 
     1.062500     0.8284190 
     1.109400     0.7784470 
     1.125000     0.7623430 
     1.179700     0.7080670 
     1.250000     0.6433200 
     1.312500     0.5902750 
     1.394500     0.5271090 
     1.437500     0.4966860 
     1.464800     0.4782920 
     1.500000     0.4556500 
     1.589800     0.4027390 
     1.665000     0.3634350 
     1.748800     0.3244520 
     1.750000     0.3239290 
     1.838500     0.2877330 
     1.946200     0.2495590 
     2.000000     0.2326500 
     2.125000     0.1980610 
     2.218800     0.1759530 
     2.359400     0.1479480 
     2.500000     0.1250600 
     2.625000     0.1081640 
     2.812500    0.08762480 
     3.000000    0.07154000 
     3.218800    0.05696390 
     3.500000    0.04312700 
     3.750000    0.03412960 
     4.000000    0.02732000 
     4.250000    0.02208450 
     4.625000    0.01633140 
     5.000000    0.01231000 
     5.500000   0.008671700 
     6.000000   0.006270000 
     6.750000   0.004016140 
     7.000000   0.003496300 
     8.000000   0.002094300 
     9.500000   0.001075740 
     10.00000  0.0008808100 
     12.50000  0.0003673260 
     15.00000  0.0001790600 
     20.00000  5.737300E-05 
     50.00000  1.515200E-06 
     72.50000  3.484600E-07 
     80.00000  2.362700E-07 
     100.0000  9.810600E-08 
     127.0300  3.837030E-08 
     170.6300  1.213250E-08 
     216.2100  4.846690E-09 
     265.2000  2.207560E-09 
     332.6500  9.285460E-10 
     394.5400  4.860970E-10 
     470.2300  2.509940E-10 
     567.3500  1.244830E-10 
     675.5100  6.524810E-11 
     817.4800  3.241970E-11 
