#F CrossSec_Compton_KleinNishina.dat
#C  This file has been created using CrossSec_Compton_KleinNishina.pro on Fri Jan 31 16:16:03 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Fri Jan 31 16:16:03 2003
#UIDL xcrosssec
#UT Compton Cross Sections from Klein-Nishina formula 
#UD Compton Cross Sections from Klein-Nishina formula 
#UD
#UD
#UD
#UD Data in this file has been calculated using the Klein-Nishina
#UD formula. It is valid for describing the Compton scattering by
#UD free electrons.
#UD 
#UD See for example the formula 19 in: 
#UD      Davisson & Evans, Rev Mod Phys, 24 (1952) 79-109
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 1 keV to 10 MeV in a 100 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD Note that the curve for all elements is the same except the  
#UD proportionality factor Z
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
       10.424040       1.2791659
       10.716676       1.2777932
       11.017528       1.2763859
       11.326826       1.2749434
       11.644806       1.2734648
       11.971713       1.2719495
       12.307798       1.2703966
       12.653318       1.2688053
       13.008537       1.2671748
       13.373729       1.2655043
       13.749172       1.2637930
       14.135156       1.2620400
       14.531975       1.2602445
       14.939935       1.2584057
       15.359347       1.2565226
       15.790533       1.2545944
       16.233824       1.2526203
       16.689560       1.2505993
       17.158090       1.2485306
       17.639773       1.2464133
       18.134978       1.2442465
       18.644085       1.2420293
       19.167485       1.2397608
       19.705578       1.2374401
       20.258777       1.2350663
       20.827506       1.2326385
       21.412202       1.2301558
       22.013311       1.2276173
       22.631296       1.2250221
       23.266629       1.2223692
       23.919798       1.2196579
       24.591304       1.2168873
       25.281661       1.2140564
       25.991399       1.2111644
       26.721062       1.2082104
       27.471208       1.2051936
       28.242413       1.2021132
       29.035269       1.1989684
       29.850382       1.1957583
       30.688379       1.1924822
       31.549901       1.1891392
       32.435608       1.1857288
       33.346180       1.1822500
       34.282315       1.1787023
       35.244730       1.1750850
       36.234163       1.1713974
       37.251373       1.1676389
       38.297139       1.1638089
       39.372263       1.1599069
       40.477570       1.1559323
       41.613906       1.1518847
       42.782142       1.1477636
       43.983175       1.1435687
       45.217924       1.1392995
       46.487337       1.1349558
       47.792386       1.1305372
       49.134073       1.1260436
       50.513425       1.1214748
       51.931499       1.1168306
       53.389384       1.1121111
       54.888196       1.1073161
       56.429085       1.1024457
       58.013231       1.0975001
       59.641849       1.0924793
       61.316188       1.0873837
       63.037532       1.0822134
       64.807198       1.0769688
       66.626545       1.0716504
       68.496967       1.0662586
       70.419898       1.0607939
       72.396811       1.0552569
       74.429223       1.0496484
       76.518692       1.0439690
       78.666818       1.0382196
       80.875249       1.0324011
       83.145678       1.0265143
       85.479845       1.0205603
       87.879540       1.0145402
       90.346602       1.0084551
       92.882923       1.0023062
       95.490446      0.99609485
       98.171170      0.98982232
       100.92715      0.98349004
       103.76050      0.97709946
       106.67339      0.97065211
       109.66806      0.96414957
       112.74680      0.95759347
       115.91196      0.95098549
       119.16598      0.94432739
       122.51136      0.93762093
       125.95065      0.93086796
       129.48649      0.92407035
       133.12159      0.91723001
       136.85874      0.91034890
       140.70081      0.90342898
       144.65073      0.89647227
       148.71155      0.88948082
       152.88636      0.88245668
       157.17837      0.87540192
       161.59088      0.86831864
       166.12725      0.86120894
       170.79098      0.85407493
       175.58563      0.84691873
       180.51489      0.83974244
       185.58252      0.83254818
       190.79242      0.82533805
       196.14858      0.81811413
       201.65510      0.81087850
       207.31621      0.80363321
       213.13625      0.79638030
       219.11967      0.78912176
       225.27106      0.78185958
       231.59515      0.77459569
       238.09677      0.76733202
       244.78092      0.76007043
       251.65271      0.75281276
       258.71741      0.74556080
       265.98044      0.73831628
       273.44737      0.73108092
       281.12392      0.72385635
       289.01597      0.71664420
       297.12958      0.70944600
       305.47097      0.70226325
       314.04652      0.69509740
       322.86282      0.68794985
       331.92662      0.68082193
       341.24487      0.67371494
       350.82471      0.66663009
       360.67350      0.65956858
       370.79876      0.65253152
       381.20828      0.64551999
       391.91002      0.63853502
       402.91220      0.63157756
       414.22325      0.62464855
       425.85183      0.61774885
       437.80686      0.61087930
       450.09751      0.60404067
       462.73320      0.59723370
       475.72361      0.59045908
       489.07871      0.58371748
       502.80873      0.57700949
       516.92419      0.57033571
       531.43592      0.56369668
       546.35504      0.55709291
       561.69298      0.55052487
       577.46152      0.54399303
       593.67272      0.53749781
       610.33903      0.53103961
       627.47321      0.52461880
       645.08841      0.51823575
       663.19812      0.51189079
       681.81623      0.50558423
       700.95701      0.49931639
       720.63513      0.49308755
       740.86568      0.48689798
       761.66417      0.48074796
       783.04654      0.47463774
       805.02918      0.46856756
       827.62895      0.46253766
       850.86316      0.45654828
       874.74963      0.45059964
       899.30667      0.44469197
       924.55311      0.43882547
       950.50830      0.43300038
       977.19213      0.42721689
       1004.6251      0.42147523
       1032.8281      0.41577559
       1061.8229      0.41011820
       1091.6317      0.40450325
       1122.2774      0.39893095
       1153.7833      0.39340150
       1186.1737      0.38791512
       1219.4734      0.38247200
       1253.7080      0.37707235
       1288.9036      0.37171638
       1325.0873      0.36640427
