#F RadiativeRates_K_Scofield.dat
#UT X-ray emission rates for K shell
#C  This file has been created using RadiativeRates_K_Scofield.pro
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD X-ray emission rates for K shell
#UD 
#UD The data contained is in table 1 of:
#UD  Exchange corrections of K x-ray emission rates
#UD  J. H. Scofield
#UD  Phys. Rev. A 9 (1974) 1041-1049
#UD 
#UD Labels are in iupac notation. 
#UD     The other notations areunfder the keywords #UIUPAC,
#UD     #USIEGBAHN and #USHELL.
#UD 
#UD Missing elements are: 1-9,11,1221,27,31,39,41,43-46,48,49,52-54,55,57-59,
#UD 61,62,66,67,69,71,75-77,83,84,86-89,91,93-95,97,>=99
#UD 
#UD Column description: 
#UD 
#UD Column  iupac   siegbahn  shell
#UD      1:  KL2   Ka2       2P1/2
#UD      2:  KL3   Ka1       2P3/2
#UD      3:  KM2   Kb3       3P1/2
#UD      4:  KM3   Kb1       3P3/2
#UD      5:  KN2   K2b2      4P1/2
#UD      6:  KN3   K1b2      4P3/2
#UD      7:  KO23  X1         5P
#UD      8:  KO23  X2         6P
#UD 
#UD The scan #S 1000 contains the data for all the elements, 
#UD where the first column is the Atomic Number Z. 
#UD This is useful to make plots of the values of a given variable as a 
#UD function of Z.
#UD 
#S  10 Ne
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
5.93  10.66  1.127  2.178  0.2536  0.496  0.1107  
#S  65 Tb
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
6.33  11.35  1.205  2.331  0.2712  0.529  0.1091  
#S  68 Er
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
7.66  13.61  1.469  2.840  0.334  0.651  0.1285  
#S  70 Yb
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
8.67  15.28  1.666  3.22  0.381  0.742  0.1430  
#S  72 Hf
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
9.77  17.09  1.884  3.64  0.435  0.849  0.1798  
#S  73 Ta
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
10.36  18.06  2.000  3.86  0.464  0.907  0.2002  
#S  74 W 
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
10.97  19.06  2.120  4.10  0.495  0.969  0.2218  
#S  78 Pt
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
13.71  23.45  2.653  5.13  0.636  1.250  0.317  
#S  79 Au
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
14.48  24.64  2.800  5.41  0.675  1.330  0.345  
#S  80 Hg
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
15.27  25.88  2.952  5.71  0.716  1.413  0.380  
#S  81 Tl
#N  8
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  KP23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  X2  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  6P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  KP23  
16.09  27.16  3.11  6.01  0.759  1.499  0.417  0.0060  
#S  82 Pb
#N  8
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  KP23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  X2  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  6P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  KP23  
16.95  28.49  3.27  6.34  0.803  1.591  0.457  0.0151  
#S  85 At
#N  8
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  KP23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  X2  
